channelid,subscriber_lifetime,views_lifetime,life_uploads,catid,category,View_range,upload_range,last_30_eng,last_30_views
UC2OUb6JWVYjbZHqQ49rkxgg,11331,1666519,95,26,Howto & Style,medium,low,6,1550
UCEmG6PGg32luUpltlCsopag,11345,592835,191,27,Education,low,low,12,760
UCeei1L64lmQptmrlHFisw2Q,11348,5935195,124,28,Science & Technology,medium,low,1,684
UCnECf1vgNsUUk9Xchx-6tiA,11350,3363013,2,24,Entertainment,medium,low,2,893
UCAnmLHisJekNwVWNwccGn1A,11362,1347532,208,20,Gaming,medium,low,1,3004
UCQ15aJvCeoK_CMhkNz2e64A,11363,2239775,76,24,Entertainment,medium,low,1,595
UCmzvldwATuvyyvD4zptXLAA,11367,2182206,37,22,People & Blogs,medium,low,1,2509
UCjJ13wBNyDIsS1wtusT2SiQ,11369,540429,141,27,Education,low,low,3,192
UCKXRRQ3enq-LF0B9PiM45MQ,11371,504689,158,23,Comedy,low,low,4,34
UCvv-gzXIoMY68hCr82TXelg,11373,2691148,159,24,Entertainment,medium,low,1,2219
UCEua0tXRJlqVTxOrwdHdJug,11378,643719,241,28,Science & Technology,low,low,3,359
UC2QR351qWG2uMs0rD-Ug2fg,11379,782276,48,24,Entertainment,low,low,1,1669
UCN-l2S52_LpVH8LfVmF9yeg,11385,1676358,764,22,People & Blogs,medium,low,1,6150
UC2q_ytbBrmKxlCSkyXWcmow,11393,3934002,405,19,Travel & Events,medium,low,24,4491
UC89B4IOo6s1VC8tsVSJsRUw,11394,1512190,52,24,Entertainment,medium,low,1,1389
UC9HwtmpMcjan2mhK82-WcGw,11394,1448265,95,22,People & Blogs,medium,low,8,805
UCmWWJ292dxBF3VtcknWQE6Q,11396,478453,304,28,Science & Technology,low,low,1,19582
UCn7DATpF0Nk-YJmjw4gMwfg,11397,58011,12,28,Science & Technology,low,low,13,20899
UCMgmbBfhwCi-ZozDIV7QJZA,11399,4480047,40,22,People & Blogs,medium,low,12,476
UCbv9alJV2yvN5t1-mVUZ6iQ,11410,851414,4,24,Entertainment,low,low,2,12189
UCyGEIY8DS6Eqnh6Ojv9dgTQ,11412,334566,116,22,People & Blogs,low,low,1,36059
UCANc_Rw2mcpRweFe1nlY2vA,11422,4425802,216,10,Music,medium,low,1,1501
UC-QrrwODsIxlPMlx5VP8Hsg,11424,13586130,715,22,People & Blogs,high,low,17,470
UCMwEfUsB4zHzGjM4p-M6gJQ,11425,2126791,211,22,People & Blogs,medium,low,6,823
UCzgOnlD1DF86NAs-TqOCERw,11429,1753778,1039,25,News & Politics,medium,medium,1,6361
UCgjuafCzeCPFMwwggkFcOAQ,11433,3101942,121,1,Film & Animation,medium,low,8,461
UC-r77NEHN7FM3m02sz-86cg,11436,634130,133,27,Education,low,low,2,452
UCSn2pIqSY2vqvWqtZkvxzCA,11440,957352,24,24,Entertainment,low,low,1,784
UCfXxBRAFohG095kb3agIZhA,11443,395528,51,28,Science & Technology,low,low,2,230
UC3LeOpWTLFDIYz4_sgAGgkQ,11444,1174003,98,27,Education,medium,low,2,650
UCnUEuKQtTMT0ltWo4UPWcHA,11447,1621970,88,26,Howto & Style,medium,low,2,404
UC3PlinWLPXJczu0LJd4GL_g,11457,6669411,425,23,Comedy,medium,low,5,0
UC9NmW50mJvxDNTYJAJaDtCQ,11461,1523208,114,24,Entertainment,medium,low,3,668
UCH0Lufp8tfAWReBcHjqArVw,11474,894904,174,10,Music,low,low,62,4716
UCOqJYxBF8T9LQ0-FotYj__A,11479,2514780,341,24,Entertainment,medium,low,1,646
UCgPcX15SDjJiO_wvPLh4i6A,11484,2918695,400,22,People & Blogs,medium,low,15,1108
UCUyQdVkA3b640Fr-w9Gdi0g,11491,4469791,788,10,Music,medium,low,1,216
UC3PsooDxvFG0aEBe4JVtAbg,11493,392324,183,28,Science & Technology,low,low,2,1447
UCDdUju_BZzqW-YmRxwK97tQ,11499,2781054,91,22,People & Blogs,medium,low,1,3008
UCWNikFoUyhDEDyz1HQ2OolQ,11507,779382,40,24,Entertainment,low,low,10,11745
UCsbI8RkHwltYWUUHcBnuvuQ,11513,1287704,239,25,News & Politics,medium,low,12,685
UCljBUp4yNLo3NundHDOtPKQ,11526,876732,472,20,Gaming,low,low,28,-247
UCpEpZDpBmQ0FHEVHYfZu9Eg,11527,2242478,27,24,Entertainment,medium,low,3,28873
UCrAqsB_5p7qpflluGFB0UzQ,11528,637841,244,27,Education,low,low,1,10313
UCFVbOq9QM29ARYHYZ8W1c1g,11529,237256,119,27,Education,low,low,1,4960
UCmXct9ZUtY1anNSvM14alqg,11544,1429748,2033,22,People & Blogs,medium,medium,66,881
UCmCb-FoCrc0J_ITOIwerTaQ,11545,3364275,8195,22,People & Blogs,medium,medium,220,448
UC7ZKgRhn7Oxbn7SGvM_Xg8w,11546,2645066,940,22,People & Blogs,medium,low,12,520
UCIl6ZD58UiEHsD-ZdqeqNjQ,11547,4740307,172,27,Education,medium,low,1,234
UCJ3efAzAX-gq297g9oY9pqA,11550,1676572,154,22,People & Blogs,medium,low,7,3846
UCWFyEjXBS5AOhDl5TzCzWGw,11554,3839722,31,22,People & Blogs,medium,low,1,1344
UCWxUltjbpJV41nHilcXSPLA,11557,3507575,317,22,People & Blogs,medium,low,1,666
UCTUuZbClOs2sVvPSO26EXwA,11571,1934606,981,20,Gaming,medium,low,6,113
UCohh-DqrASxZo57rMyLcv8A,11571,226058,143,28,Science & Technology,low,low,1,1530
UChvyHpK5OUl2EbNQQuxGy_g,11572,1369775,84,26,Howto & Style,medium,low,2,57
UCWGMGkS4zx4x8Da-3mIa96w,11587,2540012,151,24,Entertainment,medium,low,17,2964
UCSdNQp9ptL78bnWAl_snDvg,11590,14790002,428,2,Autos & Vehicles,high,low,2,328
UCZCwQxORbi5RuRfq3tcfD5A,11593,1641331,47,24,Entertainment,medium,low,1,917
UCX6yM3o5Izpw5iq7_85lSTg,11594,889334,1,1,Film & Animation,low,low,4,43791
UCjUyw0YFFoJKLeKR1cSKkEg,11602,831180,36,26,Howto & Style,low,low,1,1202
UCE5wDMNEZElnuRDk6TDPOYg,11605,317602,150,27,Education,low,low,2,6600
UCpRmXtWgVLVUlv_OqAGo_nQ,11607,374106,77,27,Education,low,low,1,7995
UCqw_iOHOWeCQjk4WWfM4VgQ,11608,1328416,118,22,People & Blogs,medium,low,1,1001
UCdooO8gJP-zr5tyWAkCCiVg,11609,653393,33,27,Education,low,low,10,3663
UCB8plfcZcCytVPXtyh4TY3Q,11613,338163,96,24,Entertainment,low,low,70,38
UCdPDjwDkDLU20oF_q5r2QWg,11622,674808,183,24,Entertainment,low,low,7,2589
UC0pyoo_KSiNpX5ad8CEflLA,11626,2473584,32,10,Music,medium,low,1,1652
UCUeaxifHDystz5buNjVIGWg,11626,1622207,341,22,People & Blogs,medium,low,205,666
UCkA-jhZz-iu4yEiq-XZAj4A,11629,894111,238,22,People & Blogs,low,low,1,907
UClc_jcJlsGrqwco78uYZp4Q,11630,4432662,624,27,Education,medium,low,1,105
UCN_VPZqs0jSDgsGO1d0lgsw,11633,3101615,193,10,Music,medium,low,17,1032
UCelow-rT6nIbajv1cJ3qN9A,11633,4532867,24,22,People & Blogs,medium,low,3,111
UCPBY7xRm-cSx6YdzmkZKDKg,11636,886872,13,10,Music,low,low,1,119
UCFt0OVX_LeB1dx5OxyOVNjQ,11639,5012361,46,10,Music,medium,low,28,1960
UCjEq5Vh29GWPo-qUhu-1o4A,11642,2555046,160,24,Entertainment,medium,low,2,1187
UC0kHO4H-Snzyk9KWaVzCPLw,11643,25003,16,24,Entertainment,low,low,1,17193
UCc4kjaNee-RacDw6Du2Qcyg,11648,1230896,34,10,Music,medium,low,1,-11630
UCefpqgZ9YcXotYZ18Vazpxg,11649,3270288,137,10,Music,medium,low,1,1155
UCwS1t7jCvCCKyl8UjeJazTg,11650,341847,420,22,People & Blogs,low,low,3,19831
UCc6qMNmtb2XON2ScgHXlOaw,11679,965299,45,22,People & Blogs,low,low,3,332
UCm-39gFyO47tKpsl5Y-n3HQ,11683,1187331,198,26,Howto & Style,medium,low,3,1023
UCnGXbQkHNd68FX3yAmwrQOA,11686,2150991,62,22,People & Blogs,medium,low,1,11383
UCMMmMVRU0zae2FCmbn_UdDQ,11689,482675,280,27,Education,low,low,1,569
UCkQY4uHnNQ5630vjekvL5_g,11700,3470921,22,22,People & Blogs,medium,low,2,6401
UCDrjNk7EgAhbcZvRzaewukw,11700,553312,143,22,People & Blogs,low,low,6,13093
UCC2BpF8jq1aGbNLKeFU6K-A,11701,2586507,60,27,Education,medium,low,1,1274
UC_B5yVpS6Zyf-3Dw6OgT8Sw,11706,886262,60,22,People & Blogs,low,low,1,574
UCBjfFyLKJTidw81_STtiPIw,11707,1283310,656,22,People & Blogs,medium,low,9,406
UC6AtiCs6a8vnjmAchFDXiWw,11709,1514149,561,10,Music,medium,low,2,837
UCqc-SE8Gu42Xu4gAcRK3hMg,11719,3089848,289,24,Entertainment,medium,low,10,940
UC2ncjbC2tWQirka1p44bM8w,11726,2807703,117,2,Autos & Vehicles,medium,low,5,225
UClbUIxdFVxhTZ9mobnKHH_A,11744,3043441,136,22,People & Blogs,medium,low,1,1380
UCsdoSHH5bucBf_wwtvWJfnQ,11745,1366981,433,22,People & Blogs,medium,low,32,961
UCc27OuGGmuo1TpJcFEPU_hw,11748,1867381,4,22,People & Blogs,medium,low,2,8734
UCiQVJmnr5sRNoZlc8LnqvOw,11750,3669289,1176,24,Entertainment,medium,medium,39,1532
UCUTjYl-OaQ8NsVUGxGmCZWg,11768,885591,1497,22,People & Blogs,low,medium,2,1020
UCCz_DhrgdQygI8mQckAPGsQ,11782,1439888,91,19,Travel & Events,medium,low,2,1259
UCnPi2LULqeECJiGnrVCAUbg,11783,4580895,71,24,Entertainment,medium,low,4,284
UCsk6NP9oCEj6Ro8VvCMReEQ,11789,3369864,69,10,Music,medium,low,2,1397
UC0KD7NX4pkYqUTlLDyYR9Jw,11791,4358393,175,24,Entertainment,medium,low,20,682
UC3unu7pMQL_GwobmvlD-BRg,11791,1511093,2326,22,People & Blogs,medium,medium,1,27604
UCZSgm98OLObgY3D7sn7z2Wg,11802,339709,45,27,Education,low,low,2,2508
UCSQXDFGMz0uc6tQEUvxa23w,11820,5481968,592,28,Science & Technology,medium,low,32,225
UC9cB7ZzQJf2xFoRiWaN6OaA,11826,303819,153,27,Education,low,low,13,1604
UCKeuIExkkSCR-_98qojSWjw,11829,1793257,73,22,People & Blogs,medium,low,1,1050
UCKjEJMmxbfd_6Soe_WD4YJQ,11830,699514,183,28,Science & Technology,low,low,2,9903
UCZSS4mhzxn6cgkKLJ9b5b0w,11831,1356417,160,27,Education,medium,low,1,4105
UCHlkyds7_WKVYu9yG0z_EMQ,11832,4647791,47,22,People & Blogs,medium,low,1,901
UCUinnqDgIsNFleLdkZKbP-w,11838,1518652,41,1,Film & Animation,medium,low,1,3706
UC7tZux9V32UhlKYYdkXVBMg,11841,1300296,206,27,Education,medium,low,23,3243
UCPBzztP4DRAZqy0Slkh_HBA,11845,5937025,18,10,Music,medium,low,6,3261
UCHoP035IGv82BlekCJV8KFQ,11846,1052106,17,22,People & Blogs,medium,low,1,1895
UC2gOIrKfDbpAxwppDFBWIlg,11856,2628070,64,10,Music,medium,low,1,-11522
UCx1deJ31JRv08u2HubHEW7w,11864,2264110,149,22,People & Blogs,medium,low,1,2041
UCpJ6-0h5GuTQjT1PQ-HZs4Q,11864,2350484,133,10,Music,medium,low,101,1648
UC0xTV49Rzb2VKB-poSXZwPw,11868,1183,3,22,People & Blogs,low,low,2,-10
UC24wegW5yLXRsErZ7uphiug,11869,1821032,17,10,Music,medium,low,1,515
UCmGNq8FzVLgx6tCAg-s6sLg,11870,2347987,262,24,Entertainment,medium,low,7,1548
UCE_3P9tonvYyNMUAiqjRB4g,11870,1396758,23,24,Entertainment,medium,low,15,1200
UCJK9Sch66_dSFDPO4kq8r6Q,11878,765024,242,28,Science & Technology,low,low,2,197
UC4C20Zelty7V0fuy5uTHdjQ,11879,779578,95,27,Education,low,low,5,4247
UC73a20RIxZKGjQZADoInCPg,11880,3477390,61,24,Entertainment,medium,low,1,183
UCQVPlxBAU2TxsrCWgq1Tf6w,11885,3596881,105,10,Music,medium,low,6,1098
UCq0CrmWy-oo237qbRlna1zA,11885,10752802,50,2,Autos & Vehicles,high,low,2,3942
UCqZotaXMdjn_zQJZ_-fHetg,11893,1323579,247,22,People & Blogs,medium,low,4,1485
UCqOY2nazbIZgoMc_UjdLEeQ,11908,1080091,155,27,Education,medium,low,10,497
UCCyj9dwA_2mOcNW4Q4e9a0A,11910,322047,10,23,Comedy,low,low,1,10789
UCFQDfOLUQSpQRa7NLfYpLzg,11911,1760385,96,10,Music,medium,low,5,524
UCvpCNI10B0IwINLSSJdUo5A,11911,1315815,1342,27,Education,medium,medium,1,3997
UC-RNnb7afAhYax8AUUI61mg,11930,2063853,107,22,People & Blogs,medium,low,14,0
UCJ0Qcgz2qGezO1tgriQ_3yQ,11931,5698870,413,1,Film & Animation,medium,low,1,883
UCCC718iaurhfXGvyCEVk4rw,11953,662934,152,28,Science & Technology,low,low,3,1147
UCtv6Xo6Tebdko48QrrsttNw,11966,1517629,76,22,People & Blogs,medium,low,2,1229
UC-lz3wk_zlDpgq4iXp5Hl-g,11969,457244,316,28,Science & Technology,low,low,3,2439
UCyfWwT7Gde91Nh7dGCnT78A,11975,653369,48,19,Travel & Events,low,low,1,2455
UChHH_9pWgDRVt8ma4ggpAeg,11979,2296539,20,10,Music,medium,low,1,2068
UCU7obIzQZt7GYalcxnQObSQ,11980,766670,36,23,Comedy,low,low,1,1955
UCqIx5jxq63Z5ZMg-cUYdWTw,11990,746456,50,22,People & Blogs,low,low,2,21156
UCeR9nlFnMf6v5rWfxenYeOQ,11995,2392764,289,26,Howto & Style,medium,low,4,421
UCIwiorKhp3OowTJZTRZhamw,11995,1390141,316,25,News & Politics,medium,low,30,1807
UCzSqv-QxG9ASpoHOg5LbrZA,11998,1696032,53,2,Autos & Vehicles,medium,low,2,896
UCW6XAQ6k4eVm5Z8uA2Nuecg,11999,986432,116,28,Science & Technology,low,low,1,1084
UCVfttiTOEsExt2G8Y3rTV2w,12001,1663219,106,22,People & Blogs,medium,low,1,3056
UCoqY3rVwWvLZV_ETTbwVo5Q,12013,79139,77,24,Entertainment,low,low,2,66
UCqvbDL7DHHxRkubNMeoVZKw,12016,3331646,214,19,Travel & Events,medium,low,2,394
UC9fCtE50pV74xx5KgKpNrkg,12027,994551,182,27,Education,low,low,11,9458
UCQhFiw2WoyqrwGKl3NiEHlg,12027,3402306,249,10,Music,medium,low,1,664
UCtoXfF1DqawRsejXGpAAcfg,12029,2010947,158,26,Howto & Style,medium,low,2,1379
UCPKKPD38xFQqt381dt6kevw,12029,1612997,46,23,Comedy,medium,low,1,489
UCAe8hVMQbBFH7YrCBSLIweg,12031,2396209,686,1,Film & Animation,medium,low,5,2696
UC-T2VVih7Aqw_hTh200hO2w,12035,3522193,296,22,People & Blogs,medium,low,2,534
UCgemEO1p19qlW8bEqa9BIrQ,12037,936993,37,22,People & Blogs,low,low,1,23387
UC97CmcaBpfHUjkQIsP2d-8w,12039,2438301,79,26,Howto & Style,medium,low,1,80
UC3vXe4JwSB04Ic1i2sJUpRw,12042,502043,280,27,Education,low,low,7,5021
UChwKlOVR041tngjerWxVccw,12043,3819062,3020,28,Science & Technology,medium,medium,209,251
UCtlSh5h6hfwgrzAVG0OLKWg,12047,5398049,314,24,Entertainment,medium,low,1,286
UCT7R6Vb6Olk7POqBJuny3vg,12050,2135944,1815,10,Music,medium,medium,54,746
UCbFvJkyfBAnuqZ7k2Gf_wgg,12059,559303,33,27,Education,low,low,10,3848
UCWzjAp-rlTFmWqmie4uStSw,12068,2364857,31,24,Entertainment,medium,low,3,3744
UCXxvceVwEBo1aVPWBW_0_oQ,12071,661493,117,19,Travel & Events,low,low,1,527
UCz0zp5X_sNu6UMfUzOeO3QA,12076,1768557,593,22,People & Blogs,medium,low,1,1268
UCVHTPi_pVT8Y7mWVipMnjmA,12078,1294176,380,27,Education,medium,low,7,408
UCWiwO0SQr0Ued9mOHD0S_cA,12096,9319890,39,24,Entertainment,medium,low,1,215
UCiPZ3mqqJN-No6vkuxifaGw,12101,625438,30,22,People & Blogs,low,low,1,15354
UCWVMdXRur6_fxfAS9XSO6Ew,12103,371589,191,22,People & Blogs,low,low,1,2166
UC8izFq9V6UsuI1l6aiafW9A,12105,2796257,566,22,People & Blogs,medium,low,1,30117
UCK8-2LAo2VuiNVD9_1_aLLw,12106,3344454,178,27,Education,medium,low,1,936
UCuplnbtZPKnM4yIJmkxpyjg,12112,3138195,348,10,Music,medium,low,1,969
UCNowU1QVzeZKxhTtHVbuHig,12113,1228317,358,27,Education,medium,low,7,656
UC8tQilDBBhf5JbAG1SSxJfQ,12114,2894214,64,22,People & Blogs,medium,low,7,4163
UCQvAXBLY8xK4pOsFyQqEe-Q,12119,4294502,6,22,People & Blogs,medium,low,1,263
UCkcPIj9HTch15ReL_M7DUkQ,12122,2769877,84,24,Entertainment,medium,low,1,827
UC7VDz7A3wU6Xx6NyKSFCF9w,12124,3342885,12,1,Film & Animation,medium,low,1,241
UCcgBNWuHaU4n2OtpppAdQZA,12137,475620,763,22,People & Blogs,low,low,1,2315
UCU2mCZbNLJt41cEf3ONsofQ,12147,2028576,2958,24,Entertainment,medium,medium,222,1626
UCdI32jjbxGNiuD21o3BbnBQ,12149,2550730,57,24,Entertainment,medium,low,2,4340
UC1Nu9R_F6NCKoo7vcE-Q0cA,12156,4581132,76,24,Entertainment,medium,low,15,4026
UCM5_Q6pviJp5IMxuE32jR4A,12161,1910531,51,22,People & Blogs,medium,low,1,711
UCyNl_hJOHwZ8X-lXukbSSKg,12162,1419913,246,24,Entertainment,medium,low,1,63
UCJ5rj-cjCkasxldvNKK0n-A,12169,1584818,56,24,Entertainment,medium,low,1,16
UCPimA2BZTjX6eylP0iCWCGg,12170,1877149,310,10,Music,medium,low,5,6613
UClk73LVRQkqK9-VRqVamNmA,12172,2120471,201,10,Music,medium,low,2,7989
UCnpwQ_iQmiBTJiUe8c-ECPg,12175,1636068,895,24,Entertainment,medium,low,11,1972
UCIgtOj8SEZfVcEiaX1-Y7xQ,12189,1146995,42,28,Science & Technology,medium,low,1,156
UCM2j_e5Yfxmw0FeFmnL2jxQ,12189,670609,69,27,Education,low,low,1,1248
UC3K_3zWRRNswXPNi-CpbfSA,12196,5348502,724,10,Music,medium,low,24,1093
UCjTS4pLRmUWv1B_SB66Ymmw,12196,560135,200,27,Education,low,low,35,8975
UCUqW4X-fHeSpKg3MGDd7Jqw,12200,295111,161,24,Entertainment,low,low,3,7785
UCejqUDG98ZL-MtOJF5w-rEg,12202,762245,849,27,Education,low,low,3,969
UCWc1qYUPRtjmzsNn1PqhK0Q,12218,2751020,24,22,People & Blogs,medium,low,1,770
UCFhSrLOU1UjQt7257D5s1_Q,12220,1322323,107,27,Education,medium,low,2,55821
UCfxNB75-9bobeRolvJ9x_1g,12224,921499,355,1,Film & Animation,low,low,1,880
UCebdurRLCXHgKaLs-HjZKrg,12224,2141792,97,10,Music,medium,low,5,382
UCIDgqSGCdJIA1ukjgZgGI2Q,12226,1947719,73,28,Science & Technology,medium,low,3,1182
UCan6AI1ASU12XvVTom1WglQ,12228,427604,39,27,Education,low,low,2,3720
UCL7XjKuPn08Q_nxAGOmav3w,12244,410881,71,22,People & Blogs,low,low,4,1368
UC3LE7SMn-c2hq4rJhXmFPlg,12245,1750832,182,22,People & Blogs,medium,low,1,1166
UCL7ibuXPcw4KG5uOzSr_wdQ,12250,2473426,162,10,Music,medium,low,6,952
UCgcve0uzgkk7nlqlioi4Arg,12261,1211409,632,27,Education,medium,low,1,1147
UCmSJHOizy3B5Pm-1euEI1fA,12264,1173778,128,26,Howto & Style,medium,low,4,1153
UC3udg3AGr416cjhhqN5L7qw,12267,1059347,4,10,Music,medium,low,5,7347
UCvCcZW_LP03Z-fPLiH2MxKw,12273,576474,34,27,Education,low,low,1,3669
UCOn_sMhGjNTN2fsbOlRaw9g,12279,489511,265,17,Sports,low,low,5,5364
UClToaOYI9s1Lgr0uHax2XVA,12282,1568221,347,15,Pets & Animals,medium,low,3,1740
UCuPFqZz4uNDSufZTOFeCmnQ,12288,2619441,68,22,People & Blogs,medium,low,1,9843
UCC8lpY6yXsRsxqSL7LyAycg,12295,1063808,96,27,Education,medium,low,2,231
UCy7z4kuu5g-NBYgG-lqSOLw,12302,406745,231,20,Gaming,low,low,6,6923
UCS2cJuSvRQyrRweg7-M_E2g,12302,370824,63,27,Education,low,low,1,6472
UCSAqQEOVL5RBn7TCafro67w,12305,2329534,322,25,News & Politics,medium,low,13,3937
UCirKrUfKVP2ebtwEWCObTbw,12306,982030,74,27,Education,low,low,27,1214
UCr5pyfJWwTRyZyQiyzD-74A,12306,5093033,67,2,Autos & Vehicles,medium,low,1,102
UC05Rv2U_MRBZgS7riG8IuwA,12307,6892487,141,1,Film & Animation,medium,low,11,47
UCUER0nPpAwGqSdFahKMtk0w,12310,1845679,54,28,Science & Technology,medium,low,1,630
UC3ViTxc-uqO2TRiYFUoGbfw,12311,2684784,63,23,Comedy,medium,low,5,1112
UCd3j2iUZc4aPVRux-OhfMaQ,12312,1769993,354,22,People & Blogs,medium,low,1,530
UCvNn_h1acHUNX22-SlgP9iA,12317,1957542,42,10,Music,medium,low,2,2033
UCcXQtWlbr-BEzj9AEekwPRA,12323,1094405,884,10,Music,medium,low,6,1170
UCIzXtOOd1y7pQFUdQhpoXaw,12327,711093,64,22,People & Blogs,low,low,14,2371
UCKh8dZK8fXY-aK0jTeXsoGA,12342,1511900,333,1,Film & Animation,medium,low,2,582
UCDR-QqgMnyBPlBq4Fp98N3g,12344,1237800,62,10,Music,medium,low,1,4796
UCC1XkdoCt4dS3GjkknzT2LQ,12347,2973728,485,22,People & Blogs,medium,low,1,576
UCm38ql6JxbY8Q3q6HMkeITw,12358,1815180,366,22,People & Blogs,medium,low,21,3694
UCfQPjaB1TYWEBCQ9y5C1xkQ,12369,4326115,651,19,Travel & Events,medium,low,1,1551
UCI0mEDJL4lUCY8fQ--dGu1w,12375,51992,807,28,Science & Technology,low,low,44,-14
UC_WCgu-92crJ7kXAKpgv9cA,12376,1428159,68,28,Science & Technology,medium,low,1,717
UC5Pov8gsrordSnNeWaiTGcQ,12380,2144392,20,22,People & Blogs,medium,low,1,1760
UC4OBWAXmOqOTrgXuYrjsQJg,12383,1819185,262,22,People & Blogs,medium,low,22,876
UCQBxnZFA80jA08e-lj_BUQg,12405,3994970,94,24,Entertainment,medium,low,1,5413
UCrJfX3a87a0nIhAh6VDFRYQ,12421,2202380,11,22,People & Blogs,medium,low,2,8129
UCIYkWjxD5ePo4iESBP2xvRg,12426,135935,14,24,Entertainment,low,low,2,23097
UCHJLovUY25gH4eKWlEqxBRA,12435,1980882,554,22,People & Blogs,medium,low,2,995
UC6Bs-u5kSwGewjFeWZuYKXg,12443,605165,239,22,People & Blogs,low,low,3,1086
UCvE9JcU2V-GEHMeB1h5ZPmQ,12445,749919,482,10,Music,low,low,20,1845
UCE6kXqlRqmN4Spzql2TVCrQ,12448,1803754,245,10,Music,medium,low,15,1070
UCKDVdjGzuqVeGpL-H3irPHg,12459,729631,56,22,People & Blogs,low,low,1,892
UC1sk3DWC5ZUohzHad1Lh3rQ,12472,2841604,173,1,Film & Animation,medium,low,2,2475
UCJ5C65SdMa3rGZi1eP13WyA,12477,1238430,41,22,People & Blogs,medium,low,3,1317
UCVzmjvM1o1ehHkCqT85YjjA,12485,2454830,10,24,Entertainment,medium,low,1,4413
UCcuITF-n4wjg8xTHb1WlkfQ,12489,977145,286,10,Music,low,low,1,636
UCQXjuALTntEGu5Q0u7Px8WQ,12491,12994718,822,10,Music,high,low,2,24
UCGnG89EnP8FgEiaQN26pgVw,12493,547493,2396,27,Education,low,medium,1,4611
UCrPqkoMXJMxwJmqV7-hswqA,12495,2267645,132,10,Music,medium,low,8,2091
UCzOklSHjcwQBwuxgZba92NA,12511,2451347,48,22,People & Blogs,medium,low,1,2153
UCVaEDwHFBVYq3wA1aRMrJvA,12513,2420585,282,24,Entertainment,medium,low,1,0
UChwl7UZnhlTitxW3g_9cbLg,12515,2198006,81,22,People & Blogs,medium,low,2,2923
UCfLO1EKqZnh3pnQFoNhUkZA,12546,36099,140,28,Science & Technology,low,low,18,32
UC5cYQzaPh0n4cFxBv962nUg,12548,2162125,8,10,Music,medium,low,1,364
UCK3i2bMUv-6Otax0nImxeiA,12550,1115631,11,28,Science & Technology,medium,low,2,8030
UCL_gVadGtPeK2GopW4jrVog,12558,809538,36,24,Entertainment,low,low,1,1851
UCF7-ObeZ3Urg8rNjAJxRd0g,12562,563760,86,28,Science & Technology,low,low,1,0
UC3g9lb5osO6R_C2a9sb6AVg,12564,420205,56,26,Howto & Style,low,low,1,1077
UCExh0ICE0DhcCJ6FwZZJ6xQ,12565,3078894,612,20,Gaming,medium,low,11,549
UCp0j7yHJQU9p8DDzcybdiaQ,12569,1642718,179,24,Entertainment,medium,low,16,1121
UCLLr4JlAdxAh84sZO5JS66Q,12582,2304211,94,24,Entertainment,medium,low,9,28
UCJtguysSVbgimMC-bzP4OlA,12583,477027,282,27,Education,low,low,1,2189
UCdmANDVrEHyOif4zgw5drJQ,12584,937449,23,26,Howto & Style,low,low,1,1526
UCkExXsZ5lIOCv74EeXbtvHQ,12589,3142696,285,10,Music,medium,low,1,471
UCEdibEk6Y2io9d_aIpWKMaQ,12602,652480,458,27,Education,low,low,1,1955
UCtFP7MJcYVwtY6McH2OoTFA,12605,2417279,103,23,Comedy,medium,low,1,17076
UCGPZaCy-MNkceKoxY28BPGw,12608,809288,121,22,People & Blogs,low,low,1,5510
UChE86yb4gbR4X2YF_ju3unA,12612,902968,43,22,People & Blogs,low,low,1,1994
UCRCGQhxlQzjT8dZEDuBztQA,12627,684569,58,28,Science & Technology,low,low,1,221
UC9pUsQg-i7hJFxJglinUnIw,12629,4131056,259,23,Comedy,medium,low,7,244
UCJhg3gxy1kKFep0wmK10evw,12646,1093650,83,22,People & Blogs,medium,low,3,846
UCSAU2z-yR8_udWchA-akugg,12646,1349312,639,25,News & Politics,medium,low,82,1416
UCV39Ry2VGZ9tG13PyN31XTQ,12655,1653837,56,22,People & Blogs,medium,low,3,348
UCfLSLXcpaRVqgCktAdITJDg,12663,2084139,107,24,Entertainment,medium,low,17,2977
UCVFT7Tw-E2-qYBuCCaAbdeA,12664,4110,12,24,Entertainment,low,low,1,-20
UC53WuTLn0JEF4wlfEZYJbXg,12665,244778,14,22,People & Blogs,low,low,1,5175
UCTHVNYU9Po3Nn4HoFE9XVyw,12666,1035700,92,27,Education,medium,low,1,203
UCQyyF0vJlgaHQqCq296DS3A,12677,173506,25,20,Gaming,low,low,1,204
UCgE228K6jKlB7yHn6XPv0gw,12686,2249909,72,28,Science & Technology,medium,low,13,246
UC6V4nVa0CQkoLZUlg9drmZA,12688,1029164,1224,24,Entertainment,medium,medium,5,1144
UCDUL2c1cmYqj1tcHrs_Phzw,12689,2537882,62,10,Music,medium,low,1,676
UCzQNZabwV3L6mD6YLjSdBKA,12694,3656554,538,28,Science & Technology,medium,low,1,764
UCcQwdar_MUv2aWipEoMDStw,12695,795275,518,27,Education,low,low,3,6752
UC0VVIL0ibIGCtFGunc5_EZQ,12696,3594166,327,22,People & Blogs,medium,low,1,548
UCf6bqQ-_y7RWhCU-vYr5Agg,12698,4632223,274,19,Travel & Events,medium,low,1,508
UCADFVpZJarBMDx3L2ypk0zg,12715,429451,86,27,Education,low,low,1,2463
UCo8jPKq-Ibbpurrq_f3J2iw,12724,5248650,369,10,Music,medium,low,4,1022
